college_id,college_name,university_name,institution_type,ownership,state,city,district,address,latitude,longitude,established_year,accreditation,degrees,branches,total_approved_intake,faculty_count,student_count,student_faculty_ratio,placement_rate,median_package_lpa,average_package_lpa,highest_package_lpa,placed_students_count,graduated_students_count,higher_studies_rate,tuition_fee_annual,hostel_fee_annual,estimated_total_cost_annual,hostel_available,pcs_accessibility_score,distance_to_major_city_km,data_source,data_year,academic_indicators,recruiting_companies,internship_information,scholarship_information,campus_area_acres,library_facility,laboratories_facility,sports_facilities,medical_facilities,internet_connectivity,other_facilities,public_transport_information,clubs_and_societies,cultural_events,extracurricular_activities,data_source_url,has_placement_data,data_confidence,is_derived,placement_score,academic_score,affordability_score,infrastructure_score,location_score,student_life_score,confidence_score,data_confidence_tier
IIT-INDORE,Indian Institute of Technology Indore (IIT Indore),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Madhya Pradesh,Indore,Indore,"Simrol, Khandwa Road, Indore, MP 453552",22.5204,75.9207,2009.0,Institute of National Importance (INI),B.Tech; M.Tech; PhD,Computer Science and Engineering; Electrical; Mechanical; Civil; Metallurgical and Materials,450,180.0,2600.0,14.4,86.2,16.0,18.5,60.0,260.0,300.0,10.0,220000.0,38000.0,258000.0,Available for Boys & Girls,3.0,25.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,78.6,98.0,48.7,98.0,92.0,97.0,100.0,High
IIT-GANDHINAGAR,Indian Institute of Technology Gandhinagar (IITGN),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Gujarat,Gandhinagar,Gandhinagar,"Palaj, Gandhinagar, Gujarat 382355",23.2115,72.6842,2008.0,Institute of National Importance (INI),B.Tech; M.Tech; PhD,Computer Science and Engineering; Electrical; Mechanical; Chemical; Civil; Materials,300,130.0,2100.0,16.1,85.0,14.5,16.2,52.0,180.0,210.0,12.0,220000.0,40000.0,260000.0,Available for Boys & Girls,3.0,25.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,76.8,96.0,48.3,98.0,92.0,97.0,100.0,High
IIT-ROPAR,Indian Institute of Technology Ropar (IIT Ropar),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Punjab,Rupnagar,Rupnagar,"Bara Phool, Rupnagar, Punjab 140001",30.9753,76.5338,2008.0,Institute of National Importance (INI),B.Tech; M.Tech; PhD,Computer Science and Engineering; Electrical; Mechanical; Chemical; Civil; Mathematics and Computing,420,170.0,2500.0,14.7,84.5,15.0,17.0,55.0,250.0,295.0,9.0,220000.0,38000.0,258000.0,Available for Boys & Girls,3.0,45.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,76.2,98.0,48.7,98.0,84.0,97.0,100.0,High
IIT-PATNA,Indian Institute of Technology Patna (IIT Patna),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Bihar,Patna,Patna,"Bihta, Patna, Bihar 801106",25.5357,84.8512,2008.0,Institute of National Importance (INI),B.Tech; M.Tech; PhD,Computer Science and Engineering; Artificial Intelligence; Electrical; Mechanical; Civil; Chemical,450,160.0,2400.0,15.0,83.0,14.0,16.0,58.0,230.0,275.0,8.0,220000.0,36000.0,256000.0,Available for Boys & Girls,3.0,30.0,NIRF MHRD Disclosures & JoSAA Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,73.7,98.0,49.1,98.0,84.0,97.0,100.0,High
BITS-PILANI,Birla Institute of Technology and Science (BITS Pilani),Deemed to be University - Institute of Eminence,Deemed to be University(Pvt),Private,Rajasthan,Pilani,Jhunjhunu,"Vidya Vihar, Pilani, Rajasthan 333031",28.3639,75.587,1964.0,Institute of Eminence (IoE) / NAAC A,B.E.; M.Sc. (Dual Degree); M.E.; PhD,Computer Science and Engineering; Electrical and Electronics; Electronics and Instrumentation; Mechanical Engineering; Chemical Engineering; Civil Engineering,2800,850.0,16000.0,18.8,87.6,14.0,16.8,60.75,1869.0,2134.0,9.5,480000.0,65000.0,545000.0,Available for Boys & Girls,3.0,190.0,NIRF MHRD Disclosures & Institutional Report,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,76.1,82.0,20.0,92.0,64.0,83.0,100.0,High
BITS-GOA,BITS Pilani - K. K. Birla Goa Campus,Deemed to be University - Institute of Eminence,Deemed to be University(Pvt),Private,Goa,Zuarinagar,South Goa,"NH 17B, Bypass Road, Zuarinagar, Sancoale, Goa 403726",15.3911,73.8783,2004.0,Institute of Eminence (IoE) / NAAC A,B.E.; M.Sc. (Dual Degree); M.E.; PhD,Computer Science and Engineering; Electronics & Communication; Electrical & Electronics; Mechanical Engineering; Chemical Engineering,900,220.0,3800.0,17.2,88.0,15.0,17.2,55.0,680.0,770.0,9.0,480000.0,65000.0,545000.0,Available for Boys & Girls,3.0,25.0,NIRF MHRD Disclosures & Institutional Report,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,77.6,82.0,20.0,92.0,92.0,83.0,100.0,High
BITS-HYDERABAD,BITS Pilani - Hyderabad Campus,Deemed to be University - Institute of Eminence,Deemed to be University(Pvt),Private,Telangana,Hyderabad,Medchal-Malkajgiri,"Shamirpet-Keesara Road, Jawahar Nagar, Hyderabad, Telangana 500078",17.5449,78.5718,2008.0,Institute of Eminence (IoE) / NAAC A,B.E.; M.Sc. (Dual Degree); M.E.; B.Pharm; PhD,Computer Science and Engineering; Electronics & Communication; Electrical & Electronics; Mechanical Engineering; Civil Engineering; Chemical Engineering,1100,260.0,4600.0,17.6,87.5,14.5,16.5,58.0,790.0,900.0,8.5,480000.0,65000.0,545000.0,Available for Boys & Girls,3.0,28.0,NIRF MHRD Disclosures & Institutional Report,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,76.4,82.0,20.0,92.0,84.0,83.0,100.0,High
VIT-VELLORE,Vellore Institute of Technology (VIT Vellore),Deemed to be University - Institute of Eminence,Deemed to be University(Pvt),Private,Tamil Nadu,Vellore,Vellore,"Katpadi, Vellore, Tamil Nadu 632014",12.9692,79.1559,1984.0,Institute of Eminence (IoE) / NAAC A++ (3.66),B.Tech; M.Tech; MCA; MBA; PhD,Computer Science and Engineering; Information Technology; Electronics & Communication; Mechanical Engineering; Electrical & Electronics; Biotechnology; Civil Engineering,6500,1800.0,32000.0,17.7,91.2,8.5,9.2,102.0,4200.0,4600.0,6.5,198000.0,85000.0,283000.0,Available for Boys & Girls,3.0,135.0,NIRF MHRD Disclosures & VIT Placement Report,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,65.8,90.0,43.6,92.0,64.0,83.0,100.0,High
VIT-CHENNAI,Vellore Institute of Technology Chennai (VIT Chennai),Deemed to be University - Institute of Eminence,Deemed to be University(Pvt),Private,Tamil Nadu,Chennai,Chengalpattu,"Vandalur-Kelambakkam Road, Chennai, Tamil Nadu 600127",12.8406,80.1534,2010.0,Institute of Eminence (IoE) / NAAC A++,B.Tech; M.Tech; MCA; MBA; PhD,Computer Science and Engineering; Artificial Intelligence and Machine Learning; Electronics and Computer Engineering; Mechanical Engineering; Electrical Engineering,2400,650.0,11000.0,16.9,89.5,8.2,8.8,75.0,1650.0,1850.0,7.0,198000.0,85000.0,283000.0,Available for Boys & Girls,3.0,25.0,NIRF MHRD Disclosures & VIT Placement Report,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,64.5,90.0,43.6,92.0,92.0,83.0,100.0,High
NIT-TRICHY,National Institute of Technology Tiruchirappalli (NIT Trichy),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"Tanjore Main Road, NH 67, Tiruchirappalli, Tamil Nadu 620015",10.7589,78.8132,1964.0,Institute of National Importance (INI) - NIRF Top 10,B.Tech; B.Arch; M.Tech; MBA; MCA; PhD,Computer Science and Engineering; Electronics & Communication; Electrical and Electronics; Mechanical Engineering; Chemical Engineering; Civil Engineering; Metallurgical and Materials,1100,380.0,6800.0,17.8,88.2,10.5,12.8,52.0,556.0,803.0,12.0,135000.0,38000.0,173000.0,Available for Boys & Girls,3.0,20.0,NIRF MHRD Disclosures & CSAB Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,71.2,96.0,65.9,98.0,92.0,97.0,100.0,High
NIT-SURATHKAL,National Institute of Technology Karnataka (NIT Surathkal),Autonomous - Institute of National Importance,Institute of National Importance (INI),Private,Karnataka,Surathkal,Dakshina Kannada,"Srinivasnagar, Surathkal, Mangalore, Karnataka 575025",13.0108,74.7943,1960.0,Institute of National Importance (INI) - NIRF Top 12,B.Tech; M.Tech; MBA; MCA; PhD,Computer Science and Engineering; Information Technology; Electronics & Communication; Electrical and Electronics; Mechanical Engineering; Chemical Engineering; Civil Engineering,1050,350.0,6400.0,18.2,83.6,9.86,12.5,51.5,632.0,756.0,10.5,135000.0,38000.0,173000.0,Available for Boys & Girls,3.0,20.0,NIRF MHRD Disclosures & CSAB Gazette,2021,NIRF Ranked Premier / INI,,Mandatory Summer Research & Industrial Internships,Tuition Waiver for eligible categories under Central Sector Scheme & Merit Scholarships,,Central Digital Library & Research Access,Departmental Labs & Research Centers,Sports Complex & Athletic Grounds,Campus Health Centre & Ambulance Access,Campus Wi-Fi & LAN,PCS Accessible Facilities across Campus,City Transit & Campus Access,"Technical, Cultural & Student Societies",Annual Cultural & Technical Festivals,"NSS, NCC, Inter-Collegiate Sports Meets",https://www.nirfindia.org,True,High,False,67.4,96.0,65.9,98.0,92.0,97.0,100.0,High
